Network,Station,Latitude,Longitude,Elevation,SiteName,StartTime,EndTime
TA,E04A,46.593399,-122.720398,215.2,"Onalaska, WA, USA",2005-10-27T00:00:00.0000,2008-02-12T23:59:59.0000
TA,E04D,46.556599,-122.567299,204.0,"Cinebar, WA, USA",2010-08-26T00:00:00.0000,2016-06-07T23:59:59.0000
TA,G04A,45.205898,-122.478401,272.8,"Mulino, OR, USA",2005-11-09T00:00:00.0000,2008-11-12T23:59:59.0000
TA,F04A,45.932499,-122.419296,211.2,"Amboy, WA,  USA",2005-10-25T00:00:00.0000,2008-10-27T23:59:59.0000
TA,E05A,46.560501,-121.760803,1481.0,"Randle, WA, USA",2005-10-29T00:00:00.0000,2008-02-11T23:59:59.0000
TA,F05D,45.885201,-121.459702,472.0,"White Salmon, WA, USA",2010-08-13T00:00:00.0000,2016-06-01T23:59:59.0000
TA,F05A,45.8839,-121.458801,454.8,"White Salmon, WA, USA",2005-11-02T00:00:00.0000,2008-01-26T23:59:59.0000
TA,G05A,45.242199,-121.316704,594.4,"Wamic, OR, USA",2005-11-03T00:00:00.0000,2008-03-27T23:59:59.0000
TA,G05D,45.242199,-121.316704,592.0,"Wamic, OR, USA",2009-10-22T00:00:00.0000,2016-09-30T23:59:59.0000
TA,E06A,46.543301,-120.979103,911.0,"Yakima, WA, USA",2006-08-28T00:00:00.0000,2008-05-13T23:59:59.0000
TA,F06A,45.766399,-120.7817,577.0,"Goldendale, WA, USA",2006-08-26T00:00:00.0000,2008-03-28T23:59:59.0000
TA,G06A,45.235699,-120.635101,780.0,"Carlson Farm, Grass Valley, OR, USA",2006-08-15T00:00:00.0000,2009-01-08T23:59:59.0000
